,A1, A2, A3, A4, A5, A6, A7, A8, A9,y
600,105,0,106,2,70,0,2,36,34,0
601,106,2,108,1,72,3,1,35,34,0
602,103,0,104,1,70,0,1,35,34,0
603,83,0,86,0,-6,-5,3,94,90,0
604,81,0,84,1,-14,-16,4,100,96,0
605,85,0,88,0,2,22,3,86,82,0
606,82,-3,86,0,-10,2,4,96,92,0
607,72,-14,77,-11,-40,7,5,118,114,0
608,81,0,84,0,-18,14,4,103,98,0
609,104,5,106,6,70,0,1,36,34,0
610,101,0,102,0,70,-31,1,32,32,0
611,81,1,86,0,-40,4,4,127,122,0
612,80,0,84,2,-36,22,5,121,116,0
613,104,-4,106,0,70,0,1,36,34,0
614,103,-1,104,-3,70,-4,1,35,34,0
615,105,-2,106,0,72,3,1,34,32,0
616,86,-2,89,0,8,0,3,81,78,0
617,85,-1,89,0,2,-5,4,86,82,0
618,103,0,104,-3,70,0,1,34,34,0
619,107,0,108,1,70,0,1,38,36,0
620,82,0,86,0,-2,17,3,88,84,0
621,82,1,86,0,-12,0,3,99,96,0
622,85,-2,89,0,6,31,4,84,80,0
623,72,21,82,0,-42,-1,10,126,116,1
624,78,0,82,-1,-46,0,4,128,124,0
625,79,0,83,8,-42,0,5,127,122,0
626,102,0,102,-3,70,-2,1,33,32,0
627,82,1,86,0,-42,-23,4,130,126,0
628,83,1,86,3,-6,0,4,94,90,0
629,79,0,83,0,-38,16,4,122,118,0
630,84,0,88,0,-2,-19,3,90,88,0
631,82,0,86,8,-10,5,4,97,92,0
632,77,0,81,-1,-40,0,4,122,118,0
633,102,0,103,0,72,27,1,31,30,0
634,82,0,87,1,-40,4,5,128,124,0
635,83,0,87,7,-4,10,4,92,88,0
636,79,-2,83,0,-46,0,5,130,126,0
637,75,6,79,6,-42,0,4,123,120,0
638,79,0,83,0,-46,-27,4,130,126,0
639,104,0,106,0,72,12,1,33,32,0
640,76,1,81,0,-42,0,4,125,120,0
641,71,2,76,6,-42,-9,4,119,116,0
642,76,0,81,0,-40,29,5,123,118,0
643,103,4,104,-1,70,-1,1,35,34,0
644,103,-14,107,0,70,0,4,37,34,0
645,79,0,83,0,-46,-9,4,130,126,0
646,79,0,83,-2,-40,8,4,125,120,0
647,81,0,84,0,-18,-11,3,103,100,0
648,101,0,102,0,72,15,1,29,28,0
649,82,0,86,0,-10,25,3,96,92,0
650,81,0,84,0,-18,1,4,103,98,0
651,80,-1,84,1,-36,20,5,121,116,0
652,81,-1,84,0,-20,18,4,105,102,0
653,84,-3,88,0,6,0,4,83,80,0
654,79,0,84,4,-32,-11,4,117,112,0
655,81,0,84,0,-18,-17,3,103,100,0
656,70,-5,74,-4,-42,-12,4,118,114,0
657,79,0,83,0,-42,15,4,127,122,0
658,85,0,88,0,6,0,3,83,80,0
659,103,-2,104,-5,72,12,1,31,30,0
660,86,5,89,0,2,-1,3,86,84,0
661,103,0,104,6,70,0,1,35,34,0
662,105,0,106,-2,70,-3,1,36,36,0
663,82,0,86,0,-40,9,4,128,124,0
664,85,0,88,4,6,0,3,83,80,0
665,76,-1,81,0,-40,12,5,122,116,0
666,80,0,84,-2,-38,-12,4,123,118,0
667,102,0,102,-3,72,24,1,30,30,0
668,104,0,105,-7,72,10,1,33,32,0
669,82,0,86,-1,-10,4,3,96,92,0
670,73,11,77,7,-40,28,4,118,114,0
671,81,3,84,0,-42,0,3,128,124,0
672,86,8,89,0,8,11,3,81,78,0
673,107,0,108,0,72,3,1,36,34,0
674,105,0,106,-5,70,0,1,36,34,0
675,82,0,86,8,-12,0,4,99,94,0
676,105,-4,107,-7,70,0,2,37,36,0
677,81,0,84,0,-22,-20,4,108,104,0
678,104,1,106,2,70,-30,1,36,34,0
679,105,4,106,0,70,0,1,36,34,0
680,85,-9,89,0,8,0,4,81,78,0
681,78,1,82,4,-42,0,4,126,122,0
682,79,0,83,0,-28,0,4,112,108,0
683,85,1,88,0,0,0,3,88,84,0
684,82,0,86,0,-12,-3,3,99,96,0
685,76,-1,80,0,-40,0,4,121,116,0
686,81,1,85,0,-12,0,4,98,94,0
687,104,0,105,0,70,-25,1,35,34,0
688,79,-5,84,0,-40,1,4,125,120,0
689,82,0,85,-1,-10,0,3,95,92,0
690,78,5,81,0,-42,0,4,125,122,0
691,82,-1,86,0,-10,0,4,96,92,0
692,81,0,84,0,-18,12,4,103,98,0
693,103,-5,104,-1,72,15,1,32,30,0
694,104,2,105,0,72,3,1,33,32,0
695,83,0,86,0,-4,16,3,92,88,0
696,104,0,105,0,72,7,1,33,32,0
697,83,0,86,0,-4,19,3,92,88,0
698,80,-2,84,0,-24,0,4,110,106,0
699,79,-1,84,11,-6,1530,5,92,88,0
700,101,-3,102,0,70,-4,1,33,32,0
701,85,-3,89,0,6,31,4,84,80,0
702,82,0,86,1,-2,7,4,88,84,0
703,77,5,81,0,-40,0,4,123,118,0
704,81,0,84,0,-18,-6,3,103,100,0
705,80,2,84,-2,-36,3,4,121,116,0
706,102,0,102,-3,70,-1,1,33,32,0
707,83,0,86,-1,-4,3,3,92,88,0
708,77,3,81,0,-40,0,4,123,118,0
709,107,0,109,4,72,1,2,36,34,0
710,79,0,83,0,-46,-15,4,130,126,0
711,82,0,86,0,-12,-22,3,99,96,0
712,108,1,109,1,72,8,1,36,36,0
713,80,-3,84,-8,-40,3,4,125,122,0
714,82,-1,86,0,-6,0,3,94,90,0
715,81,0,84,0,-18,-16,3,103,100,0
716,85,2,88,3,-2,0,3,91,88,0
717,85,4,88,0,2,-20,3,86,82,0
718,81,0,84,0,-14,25,3,100,96,0
719,85,3,88,0,2,1,3,86,82,0
720,83,0,86,0,-4,1,3,92,88,0
721,80,0,84,1,-24,1,4,110,106,0
722,102,4,103,3,72,13,1,31,30,0
723,78,-1,82,0,-46,0,4,128,124,0
724,81,0,86,0,-40,1,4,127,122,0
725,104,0,105,-4,70,0,1,35,34,0
726,84,7,89,0,6,-15,5,84,78,0
727,85,-2,89,0,8,0,4,81,78,0
728,103,0,104,2,70,0,1,35,34,0
729,77,4,81,0,-42,-18,4,125,122,0
730,79,0,83,0,-38,8,4,122,118,0
731,80,-5,84,0,-14,0,4,99,96,0
732,82,0,86,-1,-40,4,4,128,124,0
733,105,-1,106,-7,70,0,1,36,34,0
734,85,1,88,0,-2,-2,3,91,88,0
735,105,-2,106,0,72,4,1,34,32,0
736,83,0,86,-6,-4,-9,3,91,88,0
737,108,0,109,0,70,-30,1,39,38,0
738,82,0,86,0,-42,-29,4,130,126,0
739,81,0,85,-3,-24,-5,4,111,108,0
740,85,0,88,0,2,0,3,85,82,0
741,82,0,86,0,-22,4,4,109,106,0
742,104,0,106,0,70,-1,1,36,34,0
743,102,0,103,3,72,25,1,31,30,0
744,75,0,80,5,-42,0,5,124,120,0
745,81,0,84,2,-14,-15,4,100,96,0
746,78,-5,83,0,-46,0,4,129,124,0
747,104,0,106,0,72,11,1,33,32,0
748,79,0,83,0,-42,5,4,127,122,0
749,78,5,81,0,-40,0,4,123,120,0
750,78,0,81,-4,-40,0,4,123,120,0
751,85,0,88,8,2,0,3,86,82,0
752,79,0,84,0,-42,-1,4,128,124,0
753,84,1,88,0,6,0,4,83,80,0
754,108,1,109,0,72,6,1,36,36,0
755,83,3,86,0,-6,0,3,94,90,0
756,102,6,103,5,72,11,1,31,30,0
757,104,4,105,4,70,0,1,35,34,0
758,85,0,89,0,6,23,4,84,80,0
759,106,4,108,2,70,0,1,38,36,0
760,51,21,79,0,42,0,28,37,10,1
761,81,0,84,0,-22,-8,4,108,104,0
762,82,-4,86,-1,-4,-13,3,91,88,0
763,80,1,84,5,-40,7,5,126,122,0
764,82,4,86,-1,-40,1,4,127,124,0
765,84,-5,88,0,0,4,4,88,84,0
766,107,0,108,8,70,0,1,38,36,0
767,79,0,83,0,-42,26,4,127,122,0
768,102,0,102,-6,70,-6,1,33,32,0
769,81,0,84,0,-14,27,3,100,96,0
770,79,0,83,0,-38,9,4,122,118,0
771,80,1,84,8,-28,0,4,113,108,0
772,82,0,86,1,-42,-29,5,130,126,0
773,80,0,84,-1,-36,0,4,120,116,0
774,104,8,105,9,70,-25,1,35,34,0
775,78,-3,83,0,-40,3,4,124,120,0
776,81,0,84,0,-18,7,4,103,98,0
777,80,-1,84,0,-20,5,4,105,100,0
778,85,-5,89,0,8,0,4,81,78,0
779,81,0,84,2,-12,19,4,97,94,0
780,77,3,81,2,-42,-18,4,125,120,0
781,81,0,84,0,-14,24,3,100,96,0
782,85,0,88,0,2,31,3,86,82,0
783,80,-1,84,-2,-42,7,5,128,124,0
784,80,0,84,3,-36,0,5,121,116,0
785,83,0,86,0,-4,-12,3,92,88,0
786,79,0,83,0,-30,-28,4,114,110,0
787,104,-5,105,-4,70,0,1,35,34,0
788,84,0,88,0,-2,-26,3,90,88,0
789,85,-2,89,0,2,0,4,86,82,0
790,81,0,84,0,-18,16,4,103,98,0
791,85,0,88,0,2,-18,3,86,82,0
792,81,0,86,0,-24,-9,4,112,108,0
793,84,0,88,0,0,3,4,88,84,0
794,105,1,107,4,70,0,1,37,36,0
795,102,0,103,0,70,-22,1,33,32,0
796,81,0,86,6,-40,6,5,127,122,0
797,101,0,102,0,72,13,1,29,28,0
798,45,32,77,0,28,0,32,48,16,1
799,79,0,83,0,-40,-20,4,125,120,0
800,77,0,81,0,-40,2,4,123,118,0
801,81,0,85,0,-12,0,4,98,94,0
802,84,0,87,-6,0,2,3,87,84,0
803,84,0,86,-3,-2,0,3,89,86,0
804,102,0,102,0,70,-4,1,33,32,0
805,71,1,75,0,-42,-7,4,119,114,0
806,84,4,87,0,-4,0,3,92,88,0
807,85,0,89,1,2,0,4,86,82,0
808,77,-1,81,0,-40,24,4,123,118,0
809,81,5,84,0,-12,21,3,97,94,0
810,103,4,104,0,70,0,1,34,34,0
811,80,-2,84,2,-36,0,5,121,116,0
812,85,0,88,0,0,-21,3,88,86,0
813,78,0,81,-5,-40,0,4,123,120,0
814,104,6,105,8,70,0,1,35,34,0
815,81,0,84,0,-14,6,3,100,96,0
816,84,0,88,1,0,0,3,88,84,0
817,85,0,88,1,6,1,3,83,80,0
818,76,0,81,-3,-42,-13,5,125,120,0
819,82,2,86,0,-22,10,4,109,106,0
820,81,0,85,0,-40,8,4,126,122,0
821,80,0,84,0,-42,-11,4,128,124,0
822,84,5,87,7,-4,0,3,92,88,0
823,82,1,86,0,-22,0,4,109,106,0
824,104,3,105,-1,70,0,1,35,34,0
825,85,0,89,0,6,19,4,84,80,0
826,80,0,84,-7,-20,1,4,105,100,0
827,76,0,81,0,-42,-16,5,125,120,0
828,84,-3,88,3,-2,0,4,91,88,0
829,81,0,84,0,-14,23,3,100,96,0
830,77,-1,81,0,-42,0,4,125,120,0
831,85,-1,89,0,2,-3,4,86,82,0
832,79,5,83,0,-42,-22,4,126,122,0
833,81,2,84,0,-14,-5,3,99,96,0
834,104,1,106,3,72,2,1,33,32,0
835,102,5,104,4,70,-2,1,34,32,0
836,103,2,104,4,70,0,1,35,34,0
837,81,0,84,0,-20,-15,4,105,102,0
838,79,0,83,5,-42,0,5,127,122,0
839,83,0,86,0,-6,-11,3,94,90,0
840,80,-5,84,-6,-40,1,4,126,122,0
841,106,4,107,0,70,0,1,37,36,0
842,102,0,103,1,70,-5,1,33,32,0
843,85,0,88,-23,0,0,3,88,84,0
844,102,1,104,9,70,-22,2,34,32,0
845,77,-2,81,0,-40,58,4,123,118,0
846,82,0,86,0,-2,18,3,88,84,0
847,105,3,107,9,70,0,1,37,36,0
848,104,0,106,-2,70,-3,1,36,34,0
849,79,-1,83,0,-30,-3,4,114,110,0
850,107,0,108,-6,70,-19,1,38,36,0
851,83,0,86,-5,-2,24,3,88,86,0
852,82,0,86,0,-2,9,3,88,84,0
853,76,0,81,4,-42,0,5,125,120,0
854,79,-8,83,-4,-100,-572,4,184,180,0
855,105,6,106,1,70,0,1,36,34,0
856,102,-1,103,0,70,-12,1,33,32,0
857,44,45,77,0,-22,0,34,101,66,1
858,84,0,88,7,0,0,4,88,84,0
859,76,0,80,-3,-40,25,4,121,116,0
860,104,-1,105,0,70,0,1,35,34,0
861,80,0,84,0,-32,1,4,117,114,0
862,79,-4,83,-6,-40,6,4,124,120,0
863,85,0,88,0,0,-4,3,88,86,0
864,82,0,86,4,-12,0,4,99,94,0
865,107,0,108,1,72,8,1,36,34,0
866,81,0,84,0,-18,-27,3,103,100,0
867,76,6,81,0,-40,13,4,122,118,0
868,71,-2,74,-9,-40,14,4,116,112,0
869,46,48,77,0,-22,0,31,101,70,1
870,101,0,102,0,72,59,1,30,28,0
871,45,46,77,0,-22,0,33,101,68,1
872,79,6,83,0,-40,7,4,125,120,0
873,81,4,84,0,-20,0,4,105,102,0
874,105,0,106,-2,72,5,1,34,34,0
875,106,5,108,2,70,0,1,38,36,0
876,83,0,86,-3,-2,21,3,88,86,0
877,47,33,77,0,28,0,30,48,18,1
878,81,0,84,-6,-14,0,3,99,96,0
879,103,0,104,5,70,0,1,35,34,0
880,85,0,88,2,2,0,3,86,82,0
881,85,4,88,0,2,0,3,85,82,0
882,84,0,88,6,0,0,4,88,84,0
883,77,2,81,0,-42,0,4,125,122,0
884,82,0,85,0,-10,-13,3,95,92,0
885,107,1,108,2,72,6,1,36,34,0
886,81,0,86,0,-22,25,4,109,104,0
887,82,0,85,-1,-2,6,3,88,84,0
888,107,0,108,0,72,10,1,36,34,0
889,85,-2,88,0,2,-16,3,86,82,0
890,79,0,83,-3,-46,0,4,129,126,0
891,80,3,84,0,-40,5,4,126,122,0
892,82,0,85,-5,-6,1,3,93,90,0
893,105,1,106,0,70,0,1,36,36,0
894,85,0,89,8,2,0,4,86,82,0
895,105,2,106,3,70,0,1,36,36,0
896,85,-1,89,0,6,19,4,84,80,0
897,85,0,89,0,6,20,4,84,80,0
898,82,-1,86,0,-40,0,5,128,124,0
899,78,-5,82,0,-46,0,4,128,124,0
900,103,0,104,-1,70,0,1,34,34,0
901,66,77,82,0,-40,25,16,123,106,1
902,106,5,108,3,72,8,1,35,34,0
903,76,0,80,-7,-40,0,4,121,118,0
904,79,0,83,0,-46,-1,4,130,126,0
905,105,4,107,7,72,4,1,35,34,0
906,102,0,103,1,72,19,1,31,30,0
907,81,0,84,-6,-22,0,3,108,104,0
908,78,0,82,-7,-40,1,4,123,120,0
909,101,0,102,0,70,-7,1,33,32,0
910,86,3,89,0,6,-15,3,84,80,0
911,102,0,103,7,70,-20,1,33,32,0
912,80,0,84,0,-14,0,4,99,96,0
913,79,-3,83,0,-40,0,4,125,120,0
914,84,-3,88,0,2,0,3,85,82,0
915,74,-12,78,-13,-40,3,4,119,116,0
916,80,-2,84,0,-20,0,4,105,100,0
917,84,0,88,-1,-2,-9,3,90,88,0
918,102,0,103,0,70,-12,1,33,32,0
919,81,0,84,0,-14,4,4,100,96,0
920,81,4,85,0,-24,0,4,111,108,0
921,80,0,84,-2,-42,0,4,128,124,0
922,80,2,84,0,-38,0,4,123,118,0
923,79,0,83,0,-46,-17,4,130,126,0
924,80,0,84,0,-32,3,4,117,114,0
925,103,1,104,0,70,0,1,35,34,0
926,101,0,102,0,70,-26,1,32,32,0
927,77,0,81,0,-40,12,4,123,118,0
928,85,0,89,0,2,-8,4,86,82,0
929,80,-5,84,0,-20,0,4,105,100,0
930,102,0,102,-2,72,18,1,30,30,0
931,102,0,103,-1,72,20,1,31,30,0
932,83,1,86,2,-6,0,4,94,90,0
933,85,0,88,7,0,0,3,88,84,0
934,105,-1,107,-4,70,-5,1,37,36,0
935,105,-3,107,-6,70,0,2,37,36,0
936,105,0,106,-2,70,0,1,36,34,0
937,79,0,83,0,-32,-24,4,117,112,0
938,77,6,81,5,-40,15,4,123,118,0
939,75,5,79,5,-42,0,4,123,120,0
940,85,0,88,-6,6,3,3,83,80,0
941,76,-3,81,0,-40,18,5,122,116,0
942,101,2,102,0,72,16,1,29,28,0
943,80,0,84,0,-24,31,4,110,106,0
944,104,0,106,0,70,-21,1,36,34,0
945,83,0,87,0,-42,-24,4,131,126,0
946,102,2,102,0,70,0,1,33,32,0
947,107,4,108,-1,70,-1,1,38,36,0
948,83,0,86,-2,-4,1,3,92,88,0
949,104,1,106,1,70,0,1,36,34,0
950,85,0,88,-2,6,26,3,83,80,0
951,86,5,89,0,6,-23,3,84,80,0
952,79,0,83,0,-46,-7,4,130,126,0
953,107,4,108,8,72,1,1,36,34,0
954,79,0,83,0,-38,10,4,122,118,0
955,102,0,103,0,70,-8,1,33,32,0
956,81,0,85,0,-24,-6,4,111,108,0
957,84,3,87,3,-4,0,3,92,88,0
958,81,0,84,0,-18,-26,3,103,100,0
959,108,-1,109,0,72,8,1,36,36,0
960,79,0,83,0,-42,0,4,126,122,0
961,78,0,82,-6,-46,0,4,128,124,0
962,79,0,83,-6,-32,-17,4,117,112,0
963,79,0,83,0,-40,2,4,124,120,0
964,85,0,89,4,2,0,4,86,82,0
965,82,0,86,0,-10,0,4,96,92,0
966,85,2,88,0,0,0,3,88,84,0
967,104,0,104,-3,70,0,1,35,34,0
968,82,-4,86,-1,-40,0,5,128,124,0
969,80,0,84,0,-32,24,4,117,114,0
970,81,0,84,0,-12,10,3,97,94,0
971,78,0,81,-7,-40,0,4,123,120,0
972,82,5,86,0,-22,16,4,109,106,0
973,106,-1,107,-1,72,5,1,35,34,0
974,82,-2,86,0,-4,-7,3,91,88,0
975,85,0,88,2,6,3,3,83,80,0
976,102,0,103,4,70,-9,1,33,32,0
977,79,0,84,4,-42,-10,4,128,124,0
978,85,0,88,0,0,-29,3,88,86,0
979,76,0,81,0,-42,-7,5,125,120,0
980,82,5,86,8,-40,1,5,128,124,0
981,81,-5,85,-1,-42,-30,4,129,124,0
982,102,0,103,0,72,21,1,31,30,0
983,80,-1,84,-5,-36,0,4,120,116,0
984,82,0,86,0,-22,3,4,109,106,0
985,116,602,106,-1,30,29,-10,75,84,0
986,102,5,103,4,70,-22,1,33,32,0
987,101,0,102,0,72,4122,1,30,28,0
988,103,2,104,5,70,0,1,35,34,0
989,102,0,104,0,70,-17,1,34,32,0
990,101,1,102,6,72,10,1,30,28,0
991,105,-5,106,0,70,0,2,36,34,0
992,103,3,104,-1,70,-1,1,35,34,0
993,85,0,88,0,2,-15,3,86,82,0
994,102,0,103,3,70,-2,1,33,32,0
995,103,5,104,2,70,0,1,35,34,0
996,102,2,102,0,70,-5,1,33,32,0
997,104,5,105,0,72,6,1,33,32,0
998,83,0,86,0,-4,17,3,92,88,0
999,102,0,103,2,70,-6,1,33,32,0
1000,101,0,102,0,72,2,1,30,28,0
1001,85,0,88,0,2,-28,3,86,82,0
1002,41,22,77,0,28,0,36,48,12,1
1003,84,-2,88,-4,0,22,3,88,84,0
1004,77,0,81,-5,-40,0,4,122,118,0
1005,77,0,81,-7,-40,0,4,122,118,0
1006,85,-6,89,0,8,0,4,81,78,0
1007,81,0,86,5,-24,-1,4,112,108,0
1008,79,0,83,-5,-40,0,4,125,120,0
1009,108,-3,109,0,72,6,1,36,36,0
1010,84,1,87,0,-2,0,3,90,86,0
1011,81,0,84,8,-12,23,4,97,94,0
1012,79,0,83,0,-28,5,4,112,108,0
1013,81,0,84,5,-12,21,4,97,94,0
1014,102,-3,103,-7,72,22,1,31,30,0
1015,84,-4,88,0,6,0,5,83,78,0
1016,81,0,85,0,-40,10,4,126,122,0
1017,101,0,102,-2,72,-2,1,29,28,0
1018,82,-3,86,0,-2,4,4,88,84,0
1019,84,0,88,0,0,20,3,88,84,0
1020,83,-3,86,-2,-4,0,3,92,88,0
1021,103,0,104,-2,70,0,1,34,34,0
1022,79,0,83,0,-30,2,4,114,110,0
1023,81,1,86,0,-42,-28,4,130,126,0
1024,105,-1,106,-1,72,1,1,33,32,0
1025,85,0,88,0,0,28,3,88,84,0
1026,85,0,89,1,2,-13,4,86,82,0
1027,101,0,102,0,72,1185,1,30,28,0
1028,79,5,83,0,-30,-4,4,114,110,0
1029,77,0,81,0,-40,8,4,123,118,0
1030,50,24,77,0,-22,0,27,101,74,1
1031,101,0,102,0,72,14,1,29,28,0
1032,78,0,82,-5,-46,0,4,128,124,0
1033,105,2,107,5,72,2,1,35,34,0
1034,104,2,106,5,70,0,1,36,34,0
1035,75,4,79,1,-42,0,4,123,118,0
1036,107,0,108,-3,72,10,1,35,34,0
1037,105,0,106,-4,70,0,1,36,36,0
1038,85,0,88,-3,2,0,3,86,82,0
1039,81,0,84,0,-20,15,4,105,102,0
1040,85,0,88,0,0,-25,3,88,86,0
1041,76,0,81,0,-42,-2,5,125,120,0
1042,102,0,103,0,70,-23,1,33,32,0
1043,82,-4,87,0,-40,0,5,128,124,0
1044,71,1,75,0,-40,26,4,116,112,0
1045,105,-1,106,0,72,2,1,34,32,0
1046,105,-1,106,0,72,3,1,34,32,0
1047,105,0,106,8,70,0,2,36,34,0
1048,76,0,81,0,-40,0,5,122,118,0
1049,81,0,84,0,-20,13,4,105,102,0
1050,85,0,88,4,6,1,3,83,80,0
1051,85,0,88,0,0,-28,3,88,86,0
1052,103,-1,104,-3,70,-23,1,34,34,0
1053,82,0,86,0,-2,7,3,88,84,0
1054,82,3,86,5,-40,0,5,128,124,0
1055,50,23,79,0,42,0,29,37,8,1
1056,79,0,83,0,-38,21,4,122,118,0
1057,86,3,89,0,8,6,3,81,78,0
1058,79,-5,84,0,-32,0,4,117,112,0
1059,108,1,109,0,72,3,1,36,36,0
1060,79,3,84,5,-40,3,4,125,120,0
1061,82,1,86,0,-10,2,3,96,92,0
1062,79,-1,83,0,-40,0,4,125,120,0
1063,80,-1,84,1,-36,15,5,121,116,0
1064,107,0,108,-4,70,0,1,38,36,0
1065,84,0,88,0,2,0,3,85,82,0
1066,81,1,86,0,-40,2,4,127,122,0
1067,85,0,89,0,2,-9,4,86,82,0
1068,79,-2,84,0,-40,19,4,125,120,0
1069,84,0,88,0,0,7,3,88,84,0
1070,84,0,88,0,6,0,5,83,78,0
1071,82,0,86,0,-42,-19,4,130,126,0
1072,80,0,84,4,-20,0,4,105,100,0
1073,83,-4,87,0,-4,0,4,92,88,0
1074,85,0,89,0,2,-7,4,86,82,0
1075,102,5,102,0,70,0,1,33,32,0
1076,104,-5,105,-3,70,0,1,35,34,0
1077,84,1,88,5,0,0,3,88,84,0
1078,79,0,83,0,-38,23,4,122,118,0
1079,79,0,83,0,-42,29,4,127,122,0
1080,80,3,84,6,-28,0,4,112,108,0
1081,79,0,83,4,-42,-19,5,127,122,0
1082,102,5,102,1,70,-16,1,33,32,0
1083,79,0,83,0,-28,18,4,112,108,0
1084,102,3,102,0,70,0,1,33,32,0
1085,82,-2,86,-7,-40,0,4,128,124,0
1086,80,0,84,8,-42,0,5,128,124,0
1087,103,7,104,1,72,7,1,31,30,0
1088,82,0,85,-5,-10,0,3,95,92,0
1089,82,0,87,7,-40,6,5,128,124,0
1090,85,0,88,-7,2,1,3,85,82,0
1091,81,0,84,0,-14,-1,3,99,96,0
1092,83,0,86,0,-4,-14,4,92,88,0
1093,85,0,88,-5,2,-11,3,86,82,0
1094,84,-1,88,-3,-2,-10,3,90,88,0
1095,104,-1,106,0,70,0,1,36,34,0
1096,85,0,88,0,0,-27,3,88,86,0
1097,101,1,102,3,70,-25,1,33,32,0
1098,79,0,84,2,-32,-22,4,117,112,0
1099,78,1,81,0,-40,0,4,123,120,0
1100,105,3,106,3,70,-27,1,36,36,0
1101,81,0,84,0,-14,19,3,100,96,0
1102,104,-5,105,-3,72,11,1,33,32,0
1103,107,0,108,-1,72,5,1,35,34,0
1104,102,0,102,-3,70,-13,1,33,32,0
1105,101,0,102,0,70,-1,1,33,32,0
1106,82,0,87,1,-40,3,5,128,124,0
1107,107,0,108,0,72,7,1,36,34,0
1108,102,0,103,0,72,13,1,31,30,0
1109,82,0,87,0,-40,1,5,128,124,0
1110,80,0,84,0,-36,-17,4,120,116,0
1111,85,-4,88,0,6,5,3,83,80,0
1112,85,0,88,0,0,-24,3,88,86,0
1113,105,-7,107,-3,70,0,2,37,34,0
1114,81,0,85,-2,-24,-4,4,111,108,0
1115,83,0,86,-7,-2,24,3,88,86,0
1116,79,1,83,0,-46,0,4,130,126,0
1117,102,0,102,0,72,29,1,30,30,0
1118,81,0,85,0,-40,6,4,126,122,0
1119,75,6,79,2,-42,0,4,123,118,0
1120,106,3,108,1,70,0,1,38,36,0
1121,83,0,86,0,-4,3,3,92,88,0
1122,105,1,106,1,70,0,1,36,36,0
1123,78,0,81,0,-40,346,4,123,120,0
1124,105,2,106,2,70,0,1,36,36,0
1125,101,1,102,3,70,-20,1,33,32,0
1126,80,0,84,-3,-36,0,4,120,116,0
1127,80,4,84,-7,-36,0,4,120,116,0
1128,83,0,86,-2,-6,-22,3,94,90,0
1129,103,2,104,3,70,0,1,35,34,0
1130,71,4,75,1,-42,-18,4,119,114,0
1131,79,0,83,0,-40,0,4,124,120,0
1132,79,-4,84,0,-32,0,4,117,112,0
1133,84,5,89,0,6,-12,5,84,80,0
1134,81,5,84,0,-12,18,3,97,94,0
1135,80,1,84,0,-28,-8,4,112,108,0
1136,85,-4,88,0,2,2,3,86,82,0
1137,82,0,86,0,-10,21,3,96,92,0
1138,105,0,106,-1,70,-2,1,36,36,0
1139,80,0,84,5,-20,1,4,105,100,0
1140,107,1,108,3,70,-30,1,38,36,0
1141,82,1,86,3,-40,5,5,128,124,0
1142,85,-1,88,0,2,-8,3,86,82,0
1143,81,5,84,0,-18,0,3,103,100,0
1144,106,-2,108,0,72,6,1,35,34,0
1145,102,0,103,3,70,-1,1,33,32,0
1146,83,-1,86,-1,-4,0,3,92,88,0
1147,78,4,82,0,-42,0,4,126,122,0
1148,82,-3,86,0,-2,6,4,88,84,0
1149,104,2,105,2,72,4,1,33,32,0
1150,101,0,102,0,72,8,1,30,28,0
1151,81,0,84,0,-18,-28,3,103,100,0
1152,104,1,105,3,70,0,1,35,34,0
1153,85,0,88,0,2,-22,3,86,82,0
1154,79,-1,83,0,-32,106,4,117,112,0
1155,81,0,86,0,-24,-12,4,112,108,0
1156,84,0,86,-7,-4,0,3,92,88,0
1157,85,0,89,0,2,-5,4,86,82,0
1158,79,0,83,0,-40,-25,4,125,120,0
1159,85,0,88,0,2,9,3,86,82,0
1160,106,-1,108,-1,70,-1,1,38,36,0
1161,102,3,103,1,70,-3,1,33,32,0
1162,82,-1,86,-6,-40,0,4,128,124,0
1163,85,0,88,0,2,17,3,86,82,0
1164,102,0,102,-4,70,-2,1,33,32,0
1165,72,24,82,0,-42,-2,10,126,116,1
1166,104,0,105,-7,70,0,1,35,34,0
1167,82,5,86,0,-40,5,4,128,124,0
1168,104,-2,105,-1,72,17,1,33,32,0
1169,84,0,88,0,-2,-9,3,90,88,0
1170,80,0,84,0,-24,13,4,110,106,0
1171,79,-5,83,-7,-42,-30,4,126,122,0
1172,80,1,84,-1,-36,2,4,121,116,0
1173,107,1,108,0,72,2,1,36,34,0
1174,82,0,86,0,-10,19,3,96,92,0
1175,85,0,88,0,6,19,3,83,80,0
1176,76,-4,81,0,-40,0,5,122,118,0
1177,84,-3,87,0,0,0,3,87,84,0
1178,81,-4,85,0,-22,0,4,108,104,0
1179,85,0,88,0,2,8,3,86,82,0
1180,80,-4,84,-2,-36,4,5,121,116,0
1181,107,1,108,0,72,1,1,36,34,0
1182,78,0,81,0,-40,447,4,123,120,0
1183,82,1,86,1,-40,2,5,128,124,0
1184,80,0,84,-3,-20,1,4,105,100,0
1185,84,4,87,0,-2,0,3,90,86,0
1186,84,-2,87,0,0,0,3,87,84,0
1187,85,0,88,0,2,14,3,86,82,0
1188,104,3,106,5,72,3,1,33,32,0
1189,79,0,83,1,-40,17,5,125,120,0
1190,79,1,83,0,-42,-18,4,126,122,0
1191,81,1,85,0,-24,0,4,111,108,0
1192,84,-1,87,-3,0,20,3,87,84,0
