,S1, C1, S2, C2, S3, C3, S4, C4, S5, C5,y
581,4,5,1,4,2,4,3,4,1,5,0
582,2,6,2,4,1,4,1,6,4,4,0
583,2,12,1,3,4,3,4,12,1,12,0
584,2,4,1,7,3,4,4,4,2,7,0
585,2,13,1,3,4,13,2,3,1,13,0
586,4,10,1,5,3,5,4,5,2,10,0
587,1,13,4,9,2,9,3,13,3,9,0
588,2,6,1,11,2,11,1,6,3,6,0
589,3,3,4,1,1,1,3,1,1,3,0
590,4,9,1,3,4,3,3,3,1,9,0
591,2,2,4,2,2,6,1,2,3,6,0
592,4,13,4,3,2,13,2,3,1,3,0
593,4,9,1,13,3,13,1,9,4,13,0
594,4,9,1,9,2,9,3,13,4,13,0
595,1,3,4,3,1,8,2,3,4,8,0
596,3,1,2,1,1,1,2,13,1,13,0
597,3,6,4,6,3,11,1,11,2,6,0
598,1,3,3,8,2,3,1,8,2,8,0
599,1,4,3,4,4,8,2,8,2,4,0
600,4,12,3,12,4,2,1,12,3,2,0
601,1,1,1,6,3,6,2,1,3,1,0
602,1,1,4,7,2,7,1,7,2,1,0
603,2,8,4,11,3,8,4,8,1,11,0
604,4,11,2,3,3,11,2,11,4,3,0
605,3,3,2,6,3,6,1,6,1,3,0
606,4,13,3,13,2,11,2,13,3,11,0
607,3,12,2,11,3,11,1,12,2,12,0
608,4,8,4,12,1,8,2,12,1,12,0
609,3,12,4,12,3,9,4,9,2,12,0
610,1,12,3,4,2,12,3,12,2,4,0
611,2,3,2,9,1,9,4,9,1,3,0
612,4,7,1,2,3,2,2,2,2,7,0
613,1,4,3,13,2,13,4,13,3,4,0
614,3,11,4,11,4,3,1,3,2,11,0
615,1,11,4,11,4,5,2,5,3,11,0
616,4,10,3,2,3,10,4,2,1,2,0
617,3,6,3,11,2,6,1,6,2,11,0
618,4,9,2,2,1,2,3,9,1,9,0
619,1,3,3,2,3,3,4,2,1,2,0
620,4,10,2,10,3,7,2,7,1,10,0
621,2,9,1,9,3,5,1,5,4,5,0
622,4,6,3,2,1,2,3,6,1,6,0
623,1,5,3,5,4,11,1,11,4,5,0
624,2,8,1,8,2,1,3,8,3,1,0
625,4,12,2,12,3,7,1,12,1,7,0
626,1,13,2,13,1,6,3,13,2,6,0
627,3,2,1,4,4,4,2,2,2,4,0
628,1,10,3,5,2,10,1,5,3,10,0
629,1,5,2,1,4,1,3,5,1,1,0
630,4,8,2,8,2,1,3,8,1,1,0
631,1,10,4,12,2,12,1,12,4,10,0
632,3,8,2,7,1,8,4,8,1,7,0
633,2,8,4,4,2,4,1,8,4,8,0
634,4,11,2,9,1,9,1,11,3,9,0
635,3,6,2,10,1,6,4,6,4,10,0
636,2,6,2,3,4,3,3,3,3,6,0
637,2,11,4,11,1,11,4,4,2,4,0
638,2,8,4,8,3,4,2,4,4,4,0
639,1,13,3,7,1,7,4,13,3,13,0
640,4,10,2,12,2,10,3,12,4,12,0
641,1,7,4,9,2,7,3,7,2,9,0
642,3,7,1,2,4,7,4,2,3,2,0
643,2,12,4,8,4,12,1,12,3,8,0
644,4,10,4,6,3,10,1,6,3,6,0
645,1,4,3,11,1,11,2,11,3,4,0
646,1,6,3,10,4,6,2,10,2,6,0
647,3,4,4,4,4,13,2,4,2,13,0
648,1,1,3,1,2,13,4,1,1,13,0
649,3,1,2,3,4,3,1,1,1,3,0
650,4,6,3,9,4,9,2,9,3,6,0
651,4,8,3,8,3,5,2,5,4,5,0
652,1,6,4,7,3,6,4,6,3,7,0
653,1,11,2,11,2,12,3,12,1,12,0
654,4,13,2,1,3,1,1,13,1,1,0
655,4,6,2,6,3,2,1,2,4,2,0
656,4,8,2,2,3,8,1,2,3,2,0
657,2,3,3,9,2,9,3,3,4,3,0
658,4,9,2,2,1,2,3,9,3,2,0
659,4,3,4,11,2,11,1,3,2,3,0
660,1,12,1,6,3,6,3,12,4,12,0
661,1,3,4,3,1,4,2,3,4,4,0
662,2,1,1,2,4,2,2,2,3,1,0
663,2,7,2,6,4,7,4,6,1,7,0
664,3,13,4,12,2,13,3,12,1,12,0
665,2,2,3,2,3,3,1,2,1,3,0
666,4,11,3,11,4,5,1,5,2,5,0
667,4,12,3,6,3,12,1,6,2,12,0
668,2,8,1,10,3,10,1,8,3,8,0
669,1,2,2,2,4,2,4,5,1,5,0
670,1,4,3,4,2,9,1,9,4,4,0
671,2,6,1,3,4,6,4,3,1,6,0
672,3,6,4,12,4,6,2,12,2,6,0
673,3,6,2,6,1,2,1,6,4,2,0
674,4,7,3,7,1,8,3,8,2,8,0
675,1,12,4,11,2,11,3,11,4,12,0
676,2,1,3,9,4,1,1,9,3,1,0
677,1,6,2,6,1,8,3,6,2,8,0
678,4,13,1,8,2,8,4,8,3,13,0
679,3,6,2,13,3,13,1,6,2,6,0
680,2,7,2,1,4,1,3,7,1,7,0
681,1,1,1,9,2,1,4,9,2,9,0
682,3,5,2,10,1,10,4,5,2,5,0
683,4,9,3,10,3,9,4,10,1,9,0
684,3,5,4,8,3,8,1,8,1,5,0
685,3,9,4,11,1,11,1,9,2,11,0
686,1,13,3,4,3,13,4,13,1,4,0
687,3,3,2,8,4,8,2,3,4,3,0
688,1,3,2,10,1,10,4,3,3,10,0
689,3,7,2,8,4,7,1,8,3,8,0
690,1,10,2,10,3,8,4,8,1,8,0
691,4,12,1,12,1,10,3,10,2,12,0
692,1,2,2,2,3,2,4,8,3,8,0
693,4,10,3,9,1,10,1,9,3,10,0
694,3,1,2,1,2,3,4,1,1,3,0
695,2,6,3,13,3,6,4,6,2,13,0
696,1,12,2,12,4,12,4,2,3,2,0
697,3,4,3,10,1,10,4,10,1,4,0
698,4,5,3,8,1,8,4,8,1,5,0
699,4,10,4,7,3,10,1,10,1,7,0
700,1,7,3,7,3,3,1,3,4,7,0
701,2,13,2,4,3,4,3,13,4,13,0
702,3,5,4,1,3,1,4,5,1,5,0
703,3,2,3,13,4,13,2,2,2,13,0
704,1,2,4,2,3,2,1,9,2,9,0
705,3,7,1,13,4,7,4,13,1,7,0
706,1,11,3,11,3,3,2,3,4,3,0
707,2,12,3,12,2,11,1,12,3,11,0
708,3,11,4,7,1,7,2,7,1,11,0
709,2,9,1,8,4,9,4,8,3,9,0
710,2,11,3,2,1,2,1,11,3,11,0
711,3,1,1,12,3,12,4,12,4,1,0
712,3,7,4,7,1,12,4,12,2,7,0
713,1,9,3,9,3,11,4,9,2,11,0
714,3,5,4,5,3,4,1,4,4,4,0
715,1,11,4,11,1,6,4,6,3,11,0
716,4,3,3,13,3,3,1,3,4,13,0
717,1,7,2,9,1,9,3,9,3,7,0
718,3,13,4,13,4,10,1,13,3,10,0
719,4,2,3,5,3,2,4,5,1,5,0
720,3,9,1,6,2,9,2,6,1,9,0
721,4,7,3,13,1,13,2,7,3,7,0
722,1,13,3,4,4,13,4,4,3,13,0
723,3,2,2,10,1,2,4,2,1,10,0
724,1,3,1,1,3,1,4,1,4,3,0
725,3,6,4,2,1,6,4,6,2,2,0
726,2,4,4,3,3,3,2,3,4,4,0
727,4,4,3,4,2,10,4,10,1,4,0
728,1,7,3,7,4,7,4,8,1,8,0
729,3,3,1,13,4,3,2,3,3,13,0
730,3,3,2,3,2,2,3,2,1,3,0
731,2,7,3,7,1,7,2,11,3,11,0
732,1,1,4,7,2,1,3,1,2,7,0
733,4,10,3,1,2,10,4,1,2,1,0
734,2,12,2,11,2,13,2,9,2,10,1
735,4,12,3,4,2,4,3,12,4,4,0
736,2,13,1,6,4,6,4,13,3,6,0
737,2,3,4,3,2,1,3,1,1,3,0
738,4,4,4,10,2,10,2,4,3,4,0
739,1,10,4,10,2,10,2,6,4,6,0
740,2,8,3,8,1,6,3,6,2,6,0
741,4,8,1,13,3,8,1,8,3,13,0
742,3,2,2,1,1,2,3,1,2,2,0
743,1,4,4,10,2,10,4,4,1,10,0
744,2,8,3,2,4,2,3,8,2,2,0
745,1,10,3,13,3,10,2,10,1,13,0
746,3,4,3,10,4,4,1,10,4,10,0
747,1,7,3,7,4,7,2,6,1,6,0
748,1,7,3,2,2,7,4,2,1,2,0
749,1,8,2,11,3,8,4,8,4,11,0
750,1,13,2,10,4,13,3,13,1,10,0
751,2,3,3,3,1,3,3,11,2,11,0
752,4,4,2,4,1,4,1,6,2,6,0
753,4,2,2,2,4,1,2,1,3,2,0
754,4,5,2,5,3,5,2,1,1,1,0
755,1,7,3,7,4,10,2,10,4,7,0
756,4,10,1,10,3,12,2,12,3,10,0
757,2,10,4,13,3,10,3,13,2,13,0
758,2,4,3,4,4,3,4,4,3,3,0
759,1,7,2,7,2,3,4,3,3,7,0
760,2,13,4,13,3,1,2,1,1,13,0
761,2,10,1,10,3,7,4,7,1,7,0
762,2,1,3,13,1,1,1,13,2,13,0
763,2,4,1,4,3,4,2,11,3,11,0
764,4,7,3,7,3,12,1,7,4,12,0
765,4,8,3,6,2,6,4,6,2,8,0
766,3,9,4,9,2,5,3,5,2,9,0
767,2,13,3,9,2,9,3,13,1,9,0
768,4,11,2,3,3,11,3,3,1,11,0
769,1,8,2,8,2,7,3,7,4,7,0
770,2,3,1,3,3,13,4,13,4,3,0
771,4,4,1,4,4,8,3,8,1,8,0
772,4,11,2,8,1,8,1,11,3,11,0
773,4,6,1,6,3,6,2,11,4,11,0
774,2,1,2,2,3,1,1,2,3,2,0
775,1,2,3,10,4,10,4,2,3,2,0
776,2,1,1,10,3,1,1,1,2,10,0
777,1,8,3,8,1,12,2,12,4,8,0
778,3,4,2,10,1,4,2,4,4,10,0
779,3,7,1,11,4,7,2,7,2,11,0
780,4,2,4,6,1,6,2,2,2,6,0
781,1,13,2,13,2,8,3,8,1,8,0
782,4,13,1,10,3,10,3,13,4,10,0
783,3,12,4,6,2,12,2,6,4,12,0
784,4,10,2,12,1,12,3,12,3,10,0
785,3,10,4,7,2,7,4,10,2,10,0
786,3,2,2,7,2,2,3,7,1,7,0
787,3,2,1,2,3,10,4,2,2,10,0
788,2,7,3,13,4,13,3,7,2,13,0
789,2,11,3,6,1,11,4,11,1,6,0
790,4,11,3,12,1,11,2,12,3,11,0
791,1,2,4,5,3,2,4,2,3,5,0
792,4,6,4,9,1,6,3,9,2,9,0
793,3,9,2,11,1,9,2,9,1,11,0
794,3,12,1,12,4,11,2,11,2,12,0
795,3,13,3,6,4,6,4,13,1,6,0
796,4,6,2,1,1,6,2,6,1,1,0
797,2,3,4,13,1,3,3,3,1,13,0
798,2,7,3,6,3,7,1,6,4,6,0
799,1,9,4,10,1,10,3,10,4,9,0
800,2,11,1,13,3,13,2,13,3,11,0
801,2,2,1,7,3,7,3,2,4,2,0
802,3,1,3,3,4,3,2,3,4,1,0
803,2,7,4,7,4,9,1,7,1,9,0
804,3,8,2,7,3,7,1,8,1,7,0
805,1,11,4,12,4,11,3,12,3,11,0
806,3,5,1,1,4,1,2,5,1,5,0
807,1,7,2,8,1,8,2,7,4,8,0
808,2,10,1,2,1,10,3,10,4,2,0
809,2,12,4,12,2,3,3,3,1,3,0
810,3,13,4,1,2,13,2,1,1,13,0
811,4,3,1,3,3,2,4,2,2,2,0
812,3,3,1,9,4,9,2,3,3,9,0
813,3,1,4,8,1,1,3,8,2,1,0
814,4,7,1,5,2,5,1,7,2,7,0
815,3,6,2,1,4,6,2,6,3,1,0
816,4,7,1,7,1,3,3,3,3,7,0
817,2,11,3,11,2,8,3,8,1,8,0
818,1,11,2,11,2,9,4,9,1,9,0
819,1,13,4,13,1,3,2,13,2,3,0
820,4,1,3,5,1,1,2,1,1,5,0
821,2,7,3,7,1,13,1,7,3,13,0
822,3,1,3,5,2,1,2,5,4,1,0
823,3,5,3,9,1,9,1,5,2,5,0
824,4,9,2,9,3,4,2,4,1,9,0
825,2,1,3,11,4,11,2,11,4,1,0
826,2,1,3,1,1,1,1,7,3,7,0
827,4,11,3,13,4,13,3,11,2,13,0
828,3,10,4,9,1,9,4,10,2,9,0
829,2,7,4,8,4,7,1,7,3,8,0
830,1,1,4,1,1,6,3,6,3,1,0
831,3,4,2,4,1,4,3,13,2,13,0
832,4,11,2,6,3,11,1,6,3,6,0
833,2,13,2,11,1,11,4,11,1,13,0
834,3,13,2,13,4,7,1,13,1,7,0
835,4,2,4,7,1,7,3,2,1,2,0
836,2,10,3,12,3,10,1,10,4,12,0
837,3,13,1,7,2,7,4,13,4,7,0
838,1,10,3,4,1,4,4,10,3,10,0
839,3,6,1,1,2,1,1,6,4,1,0
840,3,7,4,12,1,12,2,7,3,12,0
841,3,2,4,2,3,7,2,7,1,7,0
842,3,13,1,6,3,6,4,6,2,13,0
843,1,10,4,11,2,11,3,10,3,11,0
844,2,7,3,4,1,4,1,7,3,7,0
845,4,7,1,10,2,10,2,7,1,7,0
846,4,6,2,6,1,7,2,7,3,7,0
847,4,7,4,6,3,6,1,7,3,7,0
848,2,6,4,11,1,11,3,11,3,6,0
849,4,13,4,11,3,13,2,11,3,11,0
850,3,4,1,10,2,4,2,10,4,4,0
851,2,3,4,10,4,3,1,10,2,10,0
852,3,2,1,12,3,12,1,2,4,2,0
853,1,13,2,13,4,8,3,8,3,13,0
854,2,7,3,8,1,7,1,8,2,8,0
855,2,10,4,11,3,11,1,10,4,10,0
856,1,10,2,13,3,13,4,10,4,13,0
857,3,6,4,6,1,5,3,5,2,6,0
858,4,10,1,6,2,6,1,10,4,6,0
859,3,8,3,7,2,8,1,8,1,7,0
860,1,12,4,9,2,9,3,9,3,12,0
861,1,13,2,11,4,11,3,13,2,13,0
862,1,1,1,12,2,12,2,1,4,1,0
863,2,12,3,6,1,12,4,12,2,6,0
864,2,3,3,9,3,3,1,3,4,9,0
865,2,1,3,1,4,2,1,2,2,2,0
866,1,1,3,1,2,6,1,6,3,6,0
867,3,13,3,2,1,2,4,13,1,13,0
868,4,11,1,12,2,12,4,12,1,11,0
869,4,4,1,9,4,9,3,4,3,9,0
870,4,2,1,2,1,11,4,11,3,11,0
871,1,2,4,2,2,11,1,11,3,11,0
872,4,7,4,2,3,2,2,7,1,2,0
873,2,10,4,13,3,13,3,10,1,10,0
874,2,8,4,8,1,10,4,10,1,8,0
875,3,10,1,10,4,8,4,10,3,8,0
876,3,5,1,5,1,1,4,5,2,1,0
877,1,9,2,4,4,9,3,4,1,4,0
878,1,2,2,2,4,7,3,7,3,2,0
879,2,9,2,6,3,6,1,6,4,9,0
880,3,4,2,10,4,10,1,10,4,4,0
881,3,5,3,6,2,5,4,6,2,6,0
882,2,12,3,12,2,9,4,9,1,12,0
883,2,7,2,2,1,2,4,7,1,7,0
884,4,5,1,12,3,12,4,12,2,5,0
885,2,2,1,2,4,2,2,3,4,3,0
886,4,9,3,13,1,9,3,9,2,13,0
887,4,13,1,2,3,13,3,2,2,2,0
888,2,11,2,3,4,3,1,11,1,3,0
889,3,3,4,7,2,3,1,7,3,7,0
890,1,12,3,5,3,12,4,5,4,12,0
891,3,13,2,3,1,13,3,3,2,13,0
892,2,6,4,5,2,5,1,6,4,6,0
893,1,7,1,11,3,11,2,11,4,7,0
894,3,13,2,13,2,3,3,3,1,13,0
895,1,11,3,1,2,11,1,1,3,11,0
896,3,9,4,9,4,13,2,13,1,13,0
897,4,1,4,5,3,1,1,5,2,5,0
898,3,9,4,9,4,10,2,10,1,10,0
899,1,3,1,12,3,12,3,3,2,12,0
900,1,8,1,7,1,11,1,10,1,9,1
901,3,11,4,11,2,7,1,7,3,7,0
902,1,6,4,5,4,6,3,6,1,5,0
903,3,10,3,6,2,10,2,6,4,6,0
904,4,6,2,6,3,6,2,11,3,11,0
905,4,10,1,5,3,10,1,10,4,5,0
906,2,12,2,3,1,3,1,12,3,3,0
907,3,13,2,7,2,13,4,13,4,7,0
908,1,12,2,9,4,12,1,9,4,9,0
909,3,4,2,4,4,4,1,3,4,3,0
910,3,13,3,7,1,13,2,13,4,7,0
911,1,5,2,9,2,5,1,9,3,9,0
912,1,13,4,4,4,13,3,13,1,4,0
913,3,10,4,1,1,10,2,1,2,10,0
914,4,7,3,7,2,11,3,11,1,11,0
915,3,10,1,5,2,10,2,5,3,5,0
916,3,3,2,3,1,2,4,3,3,2,0
917,4,12,3,12,1,8,2,8,4,8,0
918,3,5,4,6,1,6,1,5,2,5,0
919,4,5,4,8,3,8,3,5,1,5,0
920,4,2,3,13,4,13,3,2,1,2,0
921,2,2,4,5,3,5,1,5,3,2,0
922,1,4,4,4,4,13,3,13,2,4,0
923,1,7,2,7,3,7,1,1,4,1,0
924,1,8,4,11,4,8,1,11,2,8,0
925,4,12,4,5,2,12,2,5,1,5,0
926,2,8,1,3,3,3,2,3,1,8,0
927,4,12,1,12,4,7,1,7,2,12,0
928,1,3,4,2,2,3,1,2,3,2,0
929,4,9,1,2,2,2,4,2,1,9,0
930,1,13,4,8,1,8,3,13,2,8,0
931,2,10,3,1,4,10,4,1,1,10,0
932,1,9,1,6,2,9,4,6,2,6,0
933,1,2,3,5,3,2,2,5,1,5,0
934,1,4,2,2,4,4,4,2,3,2,0
935,1,9,2,10,4,10,3,10,2,9,0
936,1,13,4,5,3,5,3,13,2,5,0
937,1,13,3,3,2,13,4,3,4,13,0
938,2,11,4,9,1,11,3,9,3,11,0
939,1,4,4,3,1,3,2,4,4,4,0
940,1,12,3,12,3,7,4,7,1,7,0
941,1,6,3,1,4,6,2,6,1,1,0
942,2,7,1,3,3,3,3,7,2,3,0
943,4,4,4,11,3,4,2,11,2,4,0
944,2,6,3,2,3,6,1,2,1,6,0
945,1,2,2,2,4,13,3,13,3,2,0
946,4,4,3,1,4,1,1,4,2,1,0
947,2,2,4,2,3,12,2,12,4,12,0
948,3,12,1,12,4,2,1,2,4,12,0
949,4,8,2,12,4,12,1,8,1,12,0
950,4,12,4,10,1,10,2,12,3,12,0
951,3,3,1,4,4,3,2,4,4,4,0
952,1,4,3,4,1,7,2,7,3,7,0
953,2,10,4,12,2,12,4,10,1,12,0
954,3,6,1,9,2,9,1,6,3,9,0
955,3,9,1,10,2,10,1,9,2,9,0
956,1,7,4,13,2,7,3,13,2,13,0
957,4,1,2,11,4,11,1,1,3,11,0
958,4,6,1,6,2,6,1,12,2,12,0
959,2,8,3,8,4,5,2,5,3,5,0
960,3,3,4,13,2,13,1,3,3,13,0
961,2,12,4,12,3,1,1,1,4,1,0
962,1,11,2,11,3,11,4,8,2,8,0
963,4,2,3,10,3,2,4,10,2,2,0
964,3,6,2,6,2,1,1,6,1,1,0
965,4,5,1,5,4,4,3,4,2,5,0
966,4,8,3,8,2,3,1,3,4,3,0
967,1,3,4,10,3,10,2,10,3,3,0
968,1,3,4,10,1,10,2,3,2,10,0
969,2,10,4,11,3,11,1,10,4,10,0
970,4,4,2,4,1,4,1,3,4,3,0
971,4,12,3,7,1,12,2,12,2,7,0
972,1,5,2,7,4,5,3,7,4,7,0
973,4,9,4,7,3,7,2,7,1,9,0
974,1,12,1,2,3,12,3,2,2,12,0
975,4,3,2,4,1,3,3,4,3,3,0
976,1,13,4,5,1,5,2,5,4,13,0
977,1,3,1,1,2,3,4,3,4,1,0
978,3,1,3,8,4,8,2,1,1,1,0
979,2,9,1,9,4,5,4,9,2,5,0
980,1,8,4,8,1,1,2,8,2,1,0
981,3,10,1,10,1,12,4,12,2,12,0
982,2,9,4,10,1,10,4,9,1,9,0
983,2,5,3,3,3,5,4,3,1,5,0
984,3,12,1,12,4,11,3,11,2,12,0
985,4,1,1,11,2,1,4,11,3,11,0
986,3,7,2,7,1,8,2,8,4,8,0
987,4,2,3,11,1,2,4,11,2,11,0
988,2,11,2,4,1,11,3,4,3,11,0
989,1,9,4,9,4,7,2,9,3,7,0
990,3,13,2,13,4,9,4,13,1,9,0
991,3,6,4,6,1,1,3,1,2,6,0
992,2,7,1,7,2,12,3,12,4,7,0
993,2,2,4,5,2,5,3,2,4,2,0
994,3,11,1,11,1,1,2,11,3,1,0
995,4,10,1,10,2,7,1,7,4,7,0
996,2,4,1,4,3,9,4,4,1,9,0
997,1,11,3,3,1,3,4,11,3,11,0
998,3,2,2,2,4,1,1,2,1,1,0
999,3,4,2,4,1,11,4,11,3,11,0
1000,1,10,4,5,2,5,4,10,1,5,0
1001,3,12,2,12,1,6,2,6,4,6,0
1002,4,7,3,7,2,7,4,1,2,1,0
1003,2,13,4,6,1,6,1,13,3,13,0
1004,2,11,3,8,1,11,4,11,1,8,0
1005,4,1,1,6,3,6,3,1,4,6,0
1006,4,13,1,13,4,8,2,8,3,13,0
1007,1,2,1,12,2,2,3,12,4,2,0
1008,3,13,1,13,2,13,2,5,4,5,0
1009,2,2,3,6,4,2,2,6,1,6,0
1010,2,10,1,6,4,10,4,6,2,6,0
1011,3,6,2,9,1,9,1,6,3,9,0
1012,4,4,2,5,1,5,3,4,4,5,0
1013,2,13,3,13,3,5,4,13,4,5,0
1014,4,12,1,4,3,4,2,12,3,12,0
1015,2,13,1,13,3,12,3,13,1,12,0
1016,2,2,1,2,2,5,4,5,1,5,0
1017,4,7,2,3,2,7,3,3,1,3,0
1018,4,11,2,11,3,11,2,9,4,9,0
1019,2,13,1,2,3,2,1,13,4,2,0
1020,4,11,3,6,3,11,4,6,2,11,0
1021,4,3,1,6,3,3,1,3,3,6,0
1022,3,13,4,6,3,6,1,13,1,6,0
1023,1,7,3,7,2,7,1,3,3,3,0
1024,1,12,1,9,4,12,2,9,3,9,0
1025,3,13,4,5,1,5,4,13,2,13,0
1026,1,8,4,8,2,2,3,2,3,8,0
1027,1,5,3,5,1,7,2,5,2,7,0
1028,2,8,2,7,4,7,1,7,3,8,0
1029,1,5,2,13,2,5,3,13,1,13,0
1030,3,12,2,9,4,9,1,12,2,12,0
1031,4,12,3,12,2,2,3,2,4,2,0
1032,1,3,3,3,4,3,4,8,2,8,0
1033,3,9,1,11,1,9,4,11,2,11,0
1034,1,7,4,8,2,8,2,7,3,8,0
1035,3,11,4,11,4,6,1,6,3,6,0
1036,3,9,4,4,1,9,2,9,1,4,0
1037,4,9,3,9,2,2,1,2,3,2,0
1038,4,6,3,6,2,5,1,5,3,5,0
1039,1,2,2,3,4,2,1,3,2,2,0
1040,4,12,2,12,4,1,3,1,3,12,0
1041,2,12,1,11,1,12,4,12,3,11,0
1042,4,9,2,9,2,1,1,9,1,1,0
1043,2,3,1,3,3,1,3,3,4,1,0
1044,2,11,1,11,2,7,4,11,1,7,0
1045,3,6,4,5,2,5,1,5,4,6,0
1046,1,1,1,5,4,1,2,1,3,5,0
1047,1,9,3,4,4,9,2,4,1,4,0
1048,3,3,4,3,1,3,3,10,4,10,0
1049,2,11,1,11,3,13,4,11,1,13,0
1050,1,3,2,12,2,3,3,3,1,12,0
1051,4,1,2,6,1,1,2,1,3,6,0
1052,4,2,3,12,2,2,1,12,2,12,0
1053,1,13,3,13,3,5,4,5,1,5,0
1054,2,12,1,12,2,5,3,5,4,12,0
1055,2,2,3,2,3,6,4,2,1,6,0
1056,1,11,2,4,4,11,4,4,3,11,0
1057,4,9,1,4,2,4,3,9,1,9,0
1058,4,1,1,7,4,7,2,7,2,1,0
1059,4,5,3,5,4,7,1,7,2,7,0
1060,2,8,1,8,1,11,3,8,2,11,0
1061,2,4,4,4,2,12,1,12,3,4,0
1062,3,3,4,2,1,3,2,3,2,2,0
1063,1,11,3,11,3,1,1,1,4,11,0
1064,1,13,3,13,4,13,4,1,1,1,0
1065,3,3,2,11,2,3,3,11,1,11,0
1066,3,8,1,8,3,1,4,1,4,8,0
1067,4,10,4,9,1,10,3,10,3,9,0
1068,4,7,2,7,3,7,3,3,2,3,0
1069,3,9,2,7,4,7,1,9,2,9,0
1070,4,10,1,7,3,10,2,7,1,10,0
1071,3,9,1,9,3,13,1,13,2,9,0
1072,3,11,1,3,4,3,4,11,2,3,0
1073,1,8,2,8,4,8,2,1,3,1,0
1074,1,3,2,12,4,12,1,12,3,3,0
1075,3,4,4,7,4,4,2,7,1,4,0
1076,3,10,1,10,4,8,1,8,3,8,0
1077,3,6,3,10,4,6,4,10,1,6,0
1078,3,7,2,7,1,3,3,3,1,7,0
1079,3,9,4,9,2,11,3,11,1,9,0
1080,4,5,2,12,1,5,2,5,3,12,0
1081,4,12,4,9,1,12,2,12,2,9,0
1082,1,9,4,9,4,12,3,12,1,12,0
1083,1,11,2,11,1,5,3,5,4,5,0
1084,4,10,3,10,1,8,2,8,4,8,0
1085,4,12,1,10,3,10,2,12,1,12,0
1086,3,3,4,6,3,6,1,3,1,6,0
1087,4,9,4,11,2,11,1,9,2,9,0
1088,2,6,1,11,2,11,4,11,4,6,0
1089,2,1,1,8,1,1,3,8,2,8,0
1090,2,12,4,7,1,7,1,12,4,12,0
1091,3,4,1,4,1,3,4,3,2,3,0
1092,1,7,2,6,4,6,3,6,3,7,0
1093,2,10,1,10,2,3,4,10,4,3,0
1094,3,5,2,5,4,5,2,12,1,12,0
1095,2,2,1,6,3,2,4,2,4,6,0
1096,2,12,2,11,1,11,1,12,4,12,0
1097,2,8,2,6,1,8,3,6,4,6,0
1098,3,10,4,6,3,6,2,10,1,10,0
1099,3,1,4,1,2,3,1,3,3,3,0
1100,2,5,3,13,4,5,4,13,2,13,0
1101,2,12,4,9,3,12,2,9,3,9,0
1102,1,1,3,3,4,1,2,3,1,3,0
1103,2,2,4,7,1,2,2,7,3,7,0
1104,2,11,1,11,1,7,3,11,4,7,0
1105,4,6,2,6,4,5,3,5,2,5,0
1106,3,1,1,3,2,3,4,1,2,1,0
1107,1,9,2,9,3,13,4,13,3,9,0
1108,3,9,2,9,4,8,4,9,3,8,0
1109,1,11,2,5,4,5,4,11,3,5,0
1110,1,7,3,11,4,7,4,11,2,7,0
1111,1,9,1,7,4,9,3,7,2,7,0
1112,2,1,2,10,1,1,4,10,4,1,0
1113,4,7,4,5,3,5,1,7,2,5,0
1114,4,13,3,13,1,13,1,10,4,10,0
1115,1,12,4,3,3,12,4,12,3,3,0
1116,4,1,1,6,3,1,1,1,3,6,0
1117,2,3,1,3,3,3,4,10,2,10,0
1118,2,6,3,6,1,3,3,3,1,6,0
1119,2,2,4,2,1,2,1,1,3,1,0
1120,3,2,4,2,2,2,2,13,3,13,0
1121,1,5,4,5,1,1,2,5,2,1,0
1122,3,13,4,10,3,10,2,10,4,13,0
1123,4,4,3,10,3,4,1,4,2,10,0
1124,2,12,4,7,4,12,2,7,3,12,0
1125,1,13,2,13,1,2,3,2,4,2,0
1126,3,4,3,12,1,12,1,4,2,4,0
1127,1,3,3,2,3,3,1,2,4,2,0
1128,2,1,1,1,2,3,3,3,4,1,0
1129,3,9,4,9,2,8,1,9,3,8,0
1130,4,1,1,1,2,6,4,6,1,6,0
1131,1,9,2,5,4,9,1,5,4,5,0
1132,3,9,2,6,4,6,1,6,1,9,0
1133,2,10,1,12,4,12,3,10,3,12,0
1134,2,10,1,13,2,13,3,13,4,10,0
1135,3,8,4,8,3,9,2,9,1,8,0
1136,4,1,3,6,3,1,2,6,1,6,0
1137,1,9,1,13,3,9,2,9,4,13,0
1138,1,3,2,3,4,7,1,7,3,3,0
1139,3,1,2,1,3,9,4,1,4,9,0
1140,2,13,1,6,3,13,4,6,3,6,0
1141,2,8,2,11,4,8,4,11,3,8,0
1142,4,9,4,12,2,9,1,12,3,12,0
1143,4,10,1,6,3,10,3,6,4,6,0
1144,4,8,4,12,3,8,2,8,1,12,0
1145,1,4,2,4,4,4,2,7,4,7,0
1146,1,7,1,8,2,8,3,7,3,8,0
1147,2,4,1,4,2,13,3,4,1,13,0
1148,4,4,1,5,3,5,2,5,2,4,0
1149,2,10,3,6,3,10,4,6,2,6,0
1150,4,13,3,13,2,8,4,8,3,8,0
1151,1,4,4,4,1,7,3,7,2,4,0
1152,2,1,4,1,4,13,3,1,2,13,0
1153,4,3,1,3,4,9,2,9,2,3,0
1154,1,2,4,11,1,11,2,11,2,2,0
1155,1,2,3,1,3,2,2,2,1,1,0
