,FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol,y
314,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,0
315,8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,0
316,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,0
317,7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,0
318,8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,0
319,7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,0
320,6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,0
321,6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,0
322,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,0
323,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,0
324,6.5,0.25,0.27,15.2,0.049,75,217,0.9972,3.19,0.39,9.9,0
325,6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,0
326,6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,0
327,5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,0
328,6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,0
329,6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,0
330,7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,0
331,6.8,0.37,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2,0
332,7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,1
333,7.5,0.17,0.37,1.5,0.06,18,75,0.9936,3.54,0.88,10.7,0
334,7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,0
335,7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,0
336,7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,0
337,7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,0
338,7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,0
339,6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,0
340,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,0
341,8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,0
342,7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,0
343,7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,0
344,7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,0
345,8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,0
346,7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,0
347,7,0.21,0.28,7.5,0.07,45,185,0.9966,3.34,0.55,9.4,0
348,6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,0
349,6.7,0.26,0.26,4.1,0.073,36,202,0.9956,3.3,0.67,9.5,0
350,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,0
351,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,0
352,7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,0
353,7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,0
354,6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,0
355,7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,0
356,7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,0
357,6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,0
358,7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,0
359,7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,0
360,7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,0
361,5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,0
362,8.1,0.45,0.34,8.3,0.037,33,216,0.9976,3.31,0.64,9.7,0
363,5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,0
364,6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9,0
365,9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,0
366,9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,0
367,5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,0
368,6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,0
369,8.7,0.22,0.42,2.3,0.053,27,114,0.994,2.99,0.43,10,0
370,7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,0
371,9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,0
372,9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,0
373,9.3,0.34,0.49,7.3,0.052,30,146,0.998,3.17,0.61,10.2,0
374,9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,0
375,7.2,0.24,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5,0
376,7.2,0.25,0.32,1.5,0.047,27,132,0.9933,3.26,0.44,10.5,0
377,6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,0
378,9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,0
379,8.9,0.34,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5,0
380,6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,0
381,6.9,0.32,0.17,7.6,0.042,69,219,0.9959,3.13,0.4,8.9,0
382,6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,0
383,6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,0
384,6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,0
385,7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,0
386,8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,0
387,7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,0
388,6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,0
389,9.8,0.44,0.4,2.8,0.036,35,167,0.9956,2.97,0.39,9.2,0
390,7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,0
391,8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,0
392,7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,0
393,6.5,0.41,0.64,11.8,0.065,65,225,0.9978,3.12,0.51,8.9,0
394,7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,0
395,7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,0
396,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,0
397,8.9,0.33,0.32,1.5,0.047,11,200,0.9954,3.19,0.46,9.4,0
398,6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,0
399,7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,0
400,8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,0
401,8,0.61,0.38,12.1,0.301,24,220,0.9993,2.94,0.48,9.2,0
402,8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,0
403,6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,0
404,8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,1
405,7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,0
406,7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,0
407,10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,0
408,6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,0
409,8.4,0.57,0.44,10.7,0.051,46,195,0.9981,3.15,0.51,10.4,0
410,5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,0
411,7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,0
412,7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,0
413,7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,0
414,8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,0
415,7,0.39,0.31,5.3,0.169,32,162,0.9965,3.2,0.48,9.4,0
416,8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,0
417,7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,0
418,7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,0
419,7.8,0.23,0.28,4.75,0.042,45,166,0.9928,2.96,0.4,11.5,0
420,6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,0
421,8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,0
422,9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,0
423,9.6,0.25,0.54,1.3,0.04,16,160,0.9938,2.94,0.43,10.5,0
424,9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,0
425,7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,0
426,6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,0
427,6.2,0.2,0.26,1.7,0.093,40,161,0.9924,3.44,0.66,11,0
428,8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,0
429,8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,0
430,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,0
431,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,0
432,7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,0
433,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,0
434,7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,0
435,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,0
436,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,0
437,7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,0
438,7.4,0.64,0.47,14.15,0.168,42,185,0.9984,2.9,0.49,9.3,0
439,6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,0
440,9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,0
441,5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,0
442,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11,1
443,6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,0
444,5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,0
445,7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,0
446,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,0
447,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,0
448,7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,0
449,6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,0
450,8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,0
451,6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,0
452,6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,0
453,7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,0
454,7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,0
455,8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,0
456,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,0
457,8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,0
458,6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,0
459,7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,0
460,6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,0
461,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,0
462,7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,0
463,7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,0
464,7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,1
465,7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,0
466,7.5,0.2,0.49,1.3,0.031,8,97,0.9918,3.06,0.62,11.1,0
467,8,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10,0
468,6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,0
469,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,0
470,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,0
471,7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,0
472,8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10,0
473,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,0
474,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,0
475,6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11,0
476,7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,0
477,7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,0
478,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,0
479,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,0
480,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,0
481,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,0
482,7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,0
483,7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,0
484,6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,0
485,6.6,0.3,0.74,4.6,0.041,36,159,0.9946,3.21,0.45,9.9,0
486,7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,0
487,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,0
488,9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,0
489,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,0
490,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,0
491,9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8,0
492,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,0
493,6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,0
494,5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,0
495,6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,0
496,7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9,1
497,6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6,0
498,8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,0
499,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,0
500,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,0
501,6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,0
502,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,0
503,7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,0
504,7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,0
505,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,0
506,7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,0
507,6.6,0.46,0.49,7.4,0.052,19,184,0.9956,3.11,0.38,9,0
508,7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2,0
509,5.8,0.15,0.49,1.1,0.048,21,98,0.9929,3.19,0.48,9.2,0
510,6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,0
511,6.6,0.325,0.49,7.7,0.049,53,217,0.996,3.16,0.4,9.3,0
512,7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,0
513,6.6,0.26,0.31,4.8,0.138,41,168,0.9951,3.2,0.38,9.3,0
514,6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,0
515,6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,0
516,6.4,0.35,0.2,5.7,0.034,18,117,0.9944,3.33,0.43,10.1,0
517,7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,0
518,7.4,0.26,0.37,9.4,0.047,42,147,0.9982,3.46,0.72,10,0
519,6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,1
520,6.7,0.265,0.22,8.6,0.048,54,198,0.9955,3.25,0.41,10.2,0
521,7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,0
522,6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,0
523,6.7,0.31,0.42,6.4,0.057,25,148,0.9955,3.16,0.45,9.6,0
524,6.8,0.26,0.29,16.95,0.056,48,179,0.9998,3.45,0.4,9.6,0
525,6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,0
526,8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,0
527,7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,0
528,6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,0
529,6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,0
530,6.6,0.545,0.04,2.5,0.031,48,111,0.9906,3.14,0.32,11.9,0
531,6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,0
532,7.5,0.15,0.38,1.8,0.054,19,101,0.9946,3.24,0.44,10,0
533,6.6,0.22,0.58,1.1,0.133,52,136,0.9932,3.1,0.3,9.1,0
534,6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,0
535,7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,0
536,8,0.27,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,0
537,6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,0
538,6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,0
539,9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,0
540,6.6,0.62,0.2,8.7,0.046,81,224,0.99605,3.17,0.44,9.3,0
541,6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,0
542,6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,0
543,6.6,0.32,0.26,7.7,0.054,56,209,0.9961,3.17,0.45,8.8,0
544,7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,0
545,6.6,0.37,0.07,1.4,0.048,58,144,0.9922,3.17,0.38,10,0
546,6.6,0.25,0.35,14,0.069,42,163,0.999,3.56,0.47,9.8,0
547,8.4,0.17,0.31,5.4,0.052,47,150,0.9953,3.24,0.38,9.8,0
548,8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12,0
549,9.4,0.16,0.3,1.4,0.042,26,176,0.9954,3.15,0.46,9.1,0
550,6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,0
551,7.4,0.35,0.31,17.95,0.062,42,187,1.0002,3.27,0.64,9.1,0
552,6.6,0.37,0.24,2,0.064,23,120,0.9946,3.32,0.54,9.4,0
553,7.1,0.37,0.32,1.4,0.037,27,126,0.9918,3.19,0.62,12,0
554,9.4,0.16,0.23,1.6,0.042,14,67,0.9942,3.07,0.32,9.5,0
555,7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,0
556,7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,0
557,7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,0
558,7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,0
559,7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,0
560,6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,0
561,7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,0
562,6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,0
563,8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3,0
564,6.9,0.18,0.33,1,0.054,24,164,0.9926,3.42,0.51,10.5,0
565,7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,0
566,7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,0
567,7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,0
568,8.7,0.49,0.57,17.8,0.052,34,243,1.0007,2.98,0.82,9,0
569,8.3,0.27,0.39,2.4,0.058,16,107,0.9955,3.28,0.59,10.3,0
570,8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,0
571,8.9,0.33,0.34,1.4,0.056,14,171,0.9946,3.13,0.47,9.7,0
572,6.6,0.28,0.3,7.8,0.049,57,202,0.9958,3.24,0.39,9.5,0
573,5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,0
574,5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,0
575,7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,0
576,6.6,0.31,0.38,16.05,0.058,16,165,0.9997,3.38,0.6,9.2,0
577,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,0
578,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,0
579,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,0
580,6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,0
581,7,0.53,0.02,1,0.036,39,107,0.993,3.2,0.32,9,0
582,7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,0
583,7.2,0.24,0.4,17.85,0.049,50,185,1,3.34,0.42,9.6,0
584,7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,0
585,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,0
586,7.6,0.33,0.41,13.7,0.045,44,197,0.9989,3.18,0.64,9.1,0
587,6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,0
588,6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,0
589,6.8,0.35,0.44,6.5,0.056,31,161,0.9952,3.14,0.44,9.5,0
590,7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,0
591,7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4,0
592,6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,0
593,7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,0
594,6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,0
595,6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,0
596,7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,0
597,7,0.12,0.19,4.9,0.055,27,127,0.9953,3.29,0.41,9.4,0
598,8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,0
599,7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,0
600,8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,0
601,7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11,1
602,7.2,0.47,0.65,8.3,0.083,27,182,0.9964,3,0.35,9.2,0
603,8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,0
604,7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,0
605,6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,0
606,8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,0
607,6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,0
608,8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,0
609,6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,0
610,6,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,0
611,5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,0
612,6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,0
613,8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,0
614,8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,0
615,6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,0
616,7.2,0.15,0.33,1.1,0.027,16,63,0.9937,3.37,0.4,9.9,0
617,8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,0
618,8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,0
619,9.5,0.21,0.47,1.3,0.039,21,123,0.9959,2.9,0.64,9.5,0
620,8.2,0.21,0.48,1.4,0.041,11,99,0.9958,3.17,0.57,9.9,0
621,6.8,0.31,0.42,6.9,0.046,50,173,0.9958,3.19,0.46,9,0
622,7.6,0.2,0.26,4.5,0.086,37,133,0.9963,3.15,0.42,9.2,0
623,7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,0
624,7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,0
625,6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2,0
626,8.1,0.22,0.28,7.7,0.043,57,176,0.9954,3.12,0.55,10,0
627,7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,0
